位,类型,描述,,位,类型,描述,,位,类型,描述,,位,类型,描述,,位,类型,描述,,位,类型,描述,,位,类型,描述,,位,类型,描述,,位,类型,描述,,位,类型,描述,,位,类型,描述,,位,类型,描述,,位,类型,描述,,位,类型,描述,,位,类型,描述,,位,类型,描述,,位,类型,描述,,位,类型,描述,,位,类型,描述,,位,类型,描述
bit9,ErrorCode_App_L1[0],"""""",,bit9,ErrorCode_App_L1[1],"""""",,bit9,ErrorCode_App_L1[2],"""""",,bit9,ErrorCode_App_L1[3],"""""",,bit9,ErrorCode_App_L2[0],载带感应持续有信号，载带用完，或载带卡带,,bit9,ErrorCode_App_L2[1],"""""",,bit9,ErrorCode_App_L2[2],"""""",,bit9,ErrorCode_App_L2[3],"""""",,bit9,ErrorCode_App_L3[0],"""""",,bit9,ErrorCode_App_L3[1],"""""",,bit9,ErrorCode_App_L3[2],"""""",,bit9,ErrorCode_App_L3[3],"""""",,bit9,ErrorCode_App_L4[0],"""""",,bit9,ErrorCode_App_L4[1],"""""",,bit9,ErrorCode_App_L4[2],"""""",,bit9,ErrorCode_App_L4[3],"""""",,bit9,ErrorCode_App_L5[0],"""""",,bit9,ErrorCode_App_L5[1],"""""",,bit9,ErrorCode_App_L5[2],"""""",,bit9,ErrorCode_App_L5[3],""""""
bit10,ErrorCode_App_L1[0],"""""",,bit10,ErrorCode_App_L1[1],"""""",,bit10,ErrorCode_App_L1[2],"""""",,bit10,ErrorCode_App_L1[3],"""""",,bit10,ErrorCode_App_L2[0],载带感应长时间无信号，请检查载带是否脱落，或设置送带数量过大,,bit10,ErrorCode_App_L2[1],"""""",,bit10,ErrorCode_App_L2[2],"""""",,bit10,ErrorCode_App_L2[3],"""""",,bit10,ErrorCode_App_L3[0],"""""",,bit10,ErrorCode_App_L3[1],"""""",,bit10,ErrorCode_App_L3[2],"""""",,bit10,ErrorCode_App_L3[3],"""""",,bit10,ErrorCode_App_L4[0],"""""",,bit10,ErrorCode_App_L4[1],"""""",,bit10,ErrorCode_App_L4[2],"""""",,bit10,ErrorCode_App_L4[3],"""""",,bit10,ErrorCode_App_L5[0],"""""",,bit10,ErrorCode_App_L5[1],"""""",,bit10,ErrorCode_App_L5[2],"""""",,bit10,ErrorCode_App_L5[3],""""""
bit11,ErrorCode_App_L1[0],"""""",,bit11,ErrorCode_App_L1[1],"""""",,bit11,ErrorCode_App_L1[2],"""""",,bit11,ErrorCode_App_L1[3],"""""",,bit11,ErrorCode_App_L2[0],装填视觉NG，未开启自动补料，请人工处理,,bit11,ErrorCode_App_L2[1],"""""",,bit11,ErrorCode_App_L2[2],"""""",,bit11,ErrorCode_App_L2[3],"""""",,bit11,ErrorCode_App_L3[0],"""""",,bit11,ErrorCode_App_L3[1],"""""",,bit11,ErrorCode_App_L3[2],"""""",,bit11,ErrorCode_App_L3[3],"""""",,bit11,ErrorCode_App_L4[0],"""""",,bit11,ErrorCode_App_L4[1],"""""",,bit11,ErrorCode_App_L4[2],"""""",,bit11,ErrorCode_App_L4[3],"""""",,bit11,ErrorCode_App_L5[0],"""""",,bit11,ErrorCode_App_L5[1],"""""",,bit11,ErrorCode_App_L5[2],"""""",,bit11,ErrorCode_App_L5[3],""""""
bit12,ErrorCode_App_L1[0],"""""",,bit12,ErrorCode_App_L1[1],"""""",,bit12,ErrorCode_App_L1[2],"""""",,bit12,ErrorCode_App_L1[3],"""""",,bit12,ErrorCode_App_L2[0],电性不良料筒满，请人工清理后继续,,bit12,ErrorCode_App_L2[1],"""""",,bit12,ErrorCode_App_L2[2],"""""",,bit12,ErrorCode_App_L2[3],"""""",,bit12,ErrorCode_App_L3[0],"""""",,bit12,ErrorCode_App_L3[1],"""""",,bit12,ErrorCode_App_L3[2],"""""",,bit12,ErrorCode_App_L3[3],"""""",,bit12,ErrorCode_App_L4[0],"""""",,bit12,ErrorCode_App_L4[1],"""""",,bit12,ErrorCode_App_L4[2],"""""",,bit12,ErrorCode_App_L4[3],"""""",,bit12,ErrorCode_App_L5[0],"""""",,bit12,ErrorCode_App_L5[1],"""""",,bit12,ErrorCode_App_L5[2],"""""",,bit12,ErrorCode_App_L5[3],""""""
bit13,ErrorCode_App_L1[0],"""""",,bit13,ErrorCode_App_L1[1],"""""",,bit13,ErrorCode_App_L1[2],"""""",,bit13,ErrorCode_App_L1[3],"""""",,bit13,ErrorCode_App_L2[0],补料吹空料筒满，请人工处理后继续,,bit13,ErrorCode_App_L2[1],"""""",,bit13,ErrorCode_App_L2[2],"""""",,bit13,ErrorCode_App_L2[3],"""""",,bit13,ErrorCode_App_L3[0],"""""",,bit13,ErrorCode_App_L3[1],"""""",,bit13,ErrorCode_App_L3[2],"""""",,bit13,ErrorCode_App_L3[3],"""""",,bit13,ErrorCode_App_L4[0],"""""",,bit13,ErrorCode_App_L4[1],"""""",,bit13,ErrorCode_App_L4[2],"""""",,bit13,ErrorCode_App_L4[3],"""""",,bit13,ErrorCode_App_L5[0],"""""",,bit13,ErrorCode_App_L5[1],"""""",,bit13,ErrorCode_App_L5[2],"""""",,bit13,ErrorCode_App_L5[3],""""""
bit14,ErrorCode_App_L1[0],"""""",,bit14,ErrorCode_App_L1[1],"""""",,bit14,ErrorCode_App_L1[2],"""""",,bit14,ErrorCode_App_L1[3],"""""",,bit14,ErrorCode_App_L2[0],末端不良品料筒满，请人工清理后继续,,bit14,ErrorCode_App_L2[1],"""""",,bit14,ErrorCode_App_L2[2],"""""",,bit14,ErrorCode_App_L2[3],"""""",,bit14,ErrorCode_App_L3[0],"""""",,bit14,ErrorCode_App_L3[1],"""""",,bit14,ErrorCode_App_L3[2],"""""",,bit14,ErrorCode_App_L3[3],"""""",,bit14,ErrorCode_App_L4[0],"""""",,bit14,ErrorCode_App_L4[1],"""""",,bit14,ErrorCode_App_L4[2],"""""",,bit14,ErrorCode_App_L4[3],"""""",,bit14,ErrorCode_App_L5[0],"""""",,bit14,ErrorCode_App_L5[1],"""""",,bit14,ErrorCode_App_L5[2],"""""",,bit14,ErrorCode_App_L5[3],""""""
bit15,ErrorCode_App_L1[0],"""""",,bit15,ErrorCode_App_L1[1],"""""",,bit15,ErrorCode_App_L1[2],"""""",,bit15,ErrorCode_App_L1[3],"""""",,bit15,ErrorCode_App_L2[0],末端良品料筒满，请人工清理后继续,,bit15,ErrorCode_App_L2[1],"""""",,bit15,ErrorCode_App_L2[2],"""""",,bit15,ErrorCode_App_L2[3],"""""",,bit15,ErrorCode_App_L3[0],"""""",,bit15,ErrorCode_App_L3[1],"""""",,bit15,ErrorCode_App_L3[2],"""""",,bit15,ErrorCode_App_L3[3],"""""",,bit15,ErrorCode_App_L4[0],"""""",,bit15,ErrorCode_App_L4[1],"""""",,bit15,ErrorCode_App_L4[2],"""""",,bit15,ErrorCode_App_L4[3],"""""",,bit15,ErrorCode_App_L5[0],"""""",,bit15,ErrorCode_App_L5[1],"""""",,bit15,ErrorCode_App_L5[2],"""""",,bit15,ErrorCode_App_L5[3],""""""
bit16,ErrorCode_App_L1[0],"""""",,bit16,ErrorCode_App_L1[1],"""""",,bit16,ErrorCode_App_L1[2],"""""",,bit16,ErrorCode_App_L1[3],"""""",,bit16,ErrorCode_App_L2[0],连续不送带数量到达，请检查料带是否用完,,bit16,ErrorCode_App_L2[1],"""""",,bit16,ErrorCode_App_L2[2],"""""",,bit16,ErrorCode_App_L2[3],"""""",,bit16,ErrorCode_App_L3[0],"""""",,bit16,ErrorCode_App_L3[1],"""""",,bit16,ErrorCode_App_L3[2],"""""",,bit16,ErrorCode_App_L3[3],"""""",,bit16,ErrorCode_App_L4[0],"""""",,bit16,ErrorCode_App_L4[1],"""""",,bit16,ErrorCode_App_L4[2],"""""",,bit16,ErrorCode_App_L4[3],"""""",,bit16,ErrorCode_App_L5[0],"""""",,bit16,ErrorCode_App_L5[1],"""""",,bit16,ErrorCode_App_L5[2],"""""",,bit16,ErrorCode_App_L5[3],""""""
bit17,ErrorCode_App_L1[0],"""""",,bit17,ErrorCode_App_L1[1],"""""",,bit17,ErrorCode_App_L1[2],"""""",,bit17,ErrorCode_App_L1[3],"""""",,bit17,ErrorCode_App_L2[0],电性测试无响应,,bit17,ErrorCode_App_L2[1],"""""",,bit17,ErrorCode_App_L2[2],"""""",,bit17,ErrorCode_App_L2[3],"""""",,bit17,ErrorCode_App_L3[0],"""""",,bit17,ErrorCode_App_L3[1],"""""",,bit17,ErrorCode_App_L3[2],"""""",,bit17,ErrorCode_App_L3[3],"""""",,bit17,ErrorCode_App_L4[0],"""""",,bit17,ErrorCode_App_L4[1],"""""",,bit17,ErrorCode_App_L4[2],"""""",,bit17,ErrorCode_App_L4[3],"""""",,bit17,ErrorCode_App_L5[0],"""""",,bit17,ErrorCode_App_L5[1],"""""",,bit17,ErrorCode_App_L5[2],"""""",,bit17,ErrorCode_App_L5[3],""""""
bit18,ErrorCode_App_L1[0],"""""",,bit18,ErrorCode_App_L1[1],"""""",,bit18,ErrorCode_App_L1[2],"""""",,bit18,ErrorCode_App_L1[3],"""""",,bit18,ErrorCode_App_L2[0],电性测试连续不良,,bit18,ErrorCode_App_L2[1],"""""",,bit18,ErrorCode_App_L2[2],"""""",,bit18,ErrorCode_App_L2[3],"""""",,bit18,ErrorCode_App_L3[0],"""""",,bit18,ErrorCode_App_L3[1],"""""",,bit18,ErrorCode_App_L3[2],"""""",,bit18,ErrorCode_App_L3[3],"""""",,bit18,ErrorCode_App_L4[0],"""""",,bit18,ErrorCode_App_L4[1],"""""",,bit18,ErrorCode_App_L4[2],"""""",,bit18,ErrorCode_App_L4[3],"""""",,bit18,ErrorCode_App_L5[0],"""""",,bit18,ErrorCode_App_L5[1],"""""",,bit18,ErrorCode_App_L5[2],"""""",,bit18,ErrorCode_App_L5[3],""""""
bit19,ErrorCode_App_L1[0],"""""",,bit19,ErrorCode_App_L1[1],"""""",,bit19,ErrorCode_App_L1[2],"""""",,bit19,ErrorCode_App_L1[3],"""""",,bit19,ErrorCode_App_L2[0],电性测试结果连续相同,,bit19,ErrorCode_App_L2[1],"""""",,bit19,ErrorCode_App_L2[2],"""""",,bit19,ErrorCode_App_L2[3],"""""",,bit19,ErrorCode_App_L3[0],"""""",,bit19,ErrorCode_App_L3[1],"""""",,bit19,ErrorCode_App_L3[2],"""""",,bit19,ErrorCode_App_L3[3],"""""",,bit19,ErrorCode_App_L4[0],"""""",,bit19,ErrorCode_App_L4[1],"""""",,bit19,ErrorCode_App_L4[2],"""""",,bit19,ErrorCode_App_L4[3],"""""",,bit19,ErrorCode_App_L5[0],"""""",,bit19,ErrorCode_App_L5[1],"""""",,bit19,ErrorCode_App_L5[2],"""""",,bit19,ErrorCode_App_L5[3],""""""
bit20,ErrorCode_App_L1[0],"""""",,bit20,ErrorCode_App_L1[1],"""""",,bit20,ErrorCode_App_L1[2],"""""",,bit20,ErrorCode_App_L1[3],"""""",,bit20,ErrorCode_App_L2[0],剩余料带已不足,,bit20,ErrorCode_App_L2[1],"""""",,bit20,ErrorCode_App_L2[2],"""""",,bit20,ErrorCode_App_L2[3],"""""",,bit20,ErrorCode_App_L3[0],"""""",,bit20,ErrorCode_App_L3[1],"""""",,bit20,ErrorCode_App_L3[2],"""""",,bit20,ErrorCode_App_L3[3],"""""",,bit20,ErrorCode_App_L4[0],"""""",,bit20,ErrorCode_App_L4[1],"""""",,bit20,ErrorCode_App_L4[2],"""""",,bit20,ErrorCode_App_L4[3],"""""",,bit20,ErrorCode_App_L5[0],"""""",,bit20,ErrorCode_App_L5[1],"""""",,bit20,ErrorCode_App_L5[2],"""""",,bit20,ErrorCode_App_L5[3],""""""
bit21,ErrorCode_App_L1[0],"""""",,bit21,ErrorCode_App_L1[1],"""""",,bit21,ErrorCode_App_L1[2],"""""",,bit21,ErrorCode_App_L1[3],"""""",,bit21,ErrorCode_App_L2[0],剩余胶膜已不足,,bit21,ErrorCode_App_L2[1],"""""",,bit21,ErrorCode_App_L2[2],"""""",,bit21,ErrorCode_App_L2[3],"""""",,bit21,ErrorCode_App_L3[0],"""""",,bit21,ErrorCode_App_L3[1],"""""",,bit21,ErrorCode_App_L3[2],"""""",,bit21,ErrorCode_App_L3[3],"""""",,bit21,ErrorCode_App_L4[0],"""""",,bit21,ErrorCode_App_L4[1],"""""",,bit21,ErrorCode_App_L4[2],"""""",,bit21,ErrorCode_App_L4[3],"""""",,bit21,ErrorCode_App_L5[0],"""""",,bit21,ErrorCode_App_L5[1],"""""",,bit21,ErrorCode_App_L5[2],"""""",,bit21,ErrorCode_App_L5[3],""""""
bit22,ErrorCode_App_L1[0],"""""",,bit22,ErrorCode_App_L1[1],"""""",,bit22,ErrorCode_App_L1[2],"""""",,bit22,ErrorCode_App_L1[3],"""""",,bit22,ErrorCode_App_L2[0],料带使用已到达设置数量,,bit22,ErrorCode_App_L2[1],"""""",,bit22,ErrorCode_App_L2[2],"""""",,bit22,ErrorCode_App_L2[3],"""""",,bit22,ErrorCode_App_L3[0],"""""",,bit22,ErrorCode_App_L3[1],"""""",,bit22,ErrorCode_App_L3[2],"""""",,bit22,ErrorCode_App_L3[3],"""""",,bit22,ErrorCode_App_L4[0],"""""",,bit22,ErrorCode_App_L4[1],"""""",,bit22,ErrorCode_App_L4[2],"""""",,bit22,ErrorCode_App_L4[3],"""""",,bit22,ErrorCode_App_L5[0],"""""",,bit22,ErrorCode_App_L5[1],"""""",,bit22,ErrorCode_App_L5[2],"""""",,bit22,ErrorCode_App_L5[3],""""""
bit23,ErrorCode_App_L1[0],"""""",,bit23,ErrorCode_App_L1[1],"""""",,bit23,ErrorCode_App_L1[2],"""""",,bit23,ErrorCode_App_L1[3],"""""",,bit23,ErrorCode_App_L2[0],目标卷数已到达,,bit23,ErrorCode_App_L2[1],"""""",,bit23,ErrorCode_App_L2[2],"""""",,bit23,ErrorCode_App_L2[3],"""""",,bit23,ErrorCode_App_L3[0],"""""",,bit23,ErrorCode_App_L3[1],"""""",,bit23,ErrorCode_App_L3[2],"""""",,bit23,ErrorCode_App_L3[3],"""""",,bit23,ErrorCode_App_L4[0],"""""",,bit23,ErrorCode_App_L4[1],"""""",,bit23,ErrorCode_App_L4[2],"""""",,bit23,ErrorCode_App_L4[3],"""""",,bit23,ErrorCode_App_L5[0],"""""",,bit23,ErrorCode_App_L5[1],"""""",,bit23,ErrorCode_App_L5[2],"""""",,bit23,ErrorCode_App_L5[3],""""""
bit24,ErrorCode_App_L1[0],"""""",,bit24,ErrorCode_App_L1[1],"""""",,bit24,ErrorCode_App_L1[2],"""""",,bit24,ErrorCode_App_L1[3],"""""",,bit24,ErrorCode_App_L2[0],胶膜用完信号感应,,bit24,ErrorCode_App_L2[1],"""""",,bit24,ErrorCode_App_L2[2],"""""",,bit24,ErrorCode_App_L2[3],"""""",,bit24,ErrorCode_App_L3[0],"""""",,bit24,ErrorCode_App_L3[1],"""""",,bit24,ErrorCode_App_L3[2],"""""",,bit24,ErrorCode_App_L3[3],"""""",,bit24,ErrorCode_App_L4[0],"""""",,bit24,ErrorCode_App_L4[1],"""""",,bit24,ErrorCode_App_L4[2],"""""",,bit24,ErrorCode_App_L4[3],"""""",,bit24,ErrorCode_App_L5[0],"""""",,bit24,ErrorCode_App_L5[1],"""""",,bit24,ErrorCode_App_L5[2],"""""",,bit24,ErrorCode_App_L5[3],""""""
bit25,ErrorCode_App_L1[0],"""""",,bit25,ErrorCode_App_L1[1],"""""",,bit25,ErrorCode_App_L1[2],"""""",,bit25,ErrorCode_App_L1[3],"""""",,bit25,ErrorCode_App_L2[0],装填卡料,,bit25,ErrorCode_App_L2[1],"""""",,bit25,ErrorCode_App_L2[2],"""""",,bit25,ErrorCode_App_L2[3],"""""",,bit25,ErrorCode_App_L3[0],"""""",,bit25,ErrorCode_App_L3[1],"""""",,bit25,ErrorCode_App_L3[2],"""""",,bit25,ErrorCode_App_L3[3],"""""",,bit25,ErrorCode_App_L4[0],"""""",,bit25,ErrorCode_App_L4[1],"""""",,bit25,ErrorCode_App_L4[2],"""""",,bit25,ErrorCode_App_L4[3],"""""",,bit25,ErrorCode_App_L5[0],"""""",,bit25,ErrorCode_App_L5[1],"""""",,bit25,ErrorCode_App_L5[2],"""""",,bit25,ErrorCode_App_L5[3],""""""
bit26,ErrorCode_App_L1[0],"""""",,bit26,ErrorCode_App_L1[1],"""""",,bit26,ErrorCode_App_L1[2],"""""",,bit26,ErrorCode_App_L1[3],"""""",,bit26,ErrorCode_App_L2[0],补料取NG材料失败,,bit26,ErrorCode_App_L2[1],"""""",,bit26,ErrorCode_App_L2[2],"""""",,bit26,ErrorCode_App_L2[3],"""""",,bit26,ErrorCode_App_L3[0],"""""",,bit26,ErrorCode_App_L3[1],"""""",,bit26,ErrorCode_App_L3[2],"""""",,bit26,ErrorCode_App_L3[3],"""""",,bit26,ErrorCode_App_L4[0],"""""",,bit26,ErrorCode_App_L4[1],"""""",,bit26,ErrorCode_App_L4[2],"""""",,bit26,ErrorCode_App_L4[3],"""""",,bit26,ErrorCode_App_L5[0],"""""",,bit26,ErrorCode_App_L5[1],"""""",,bit26,ErrorCode_App_L5[2],"""""",,bit26,ErrorCode_App_L5[3],""""""
bit27,ErrorCode_App_L1[0],"""""",,bit27,ErrorCode_App_L1[1],"""""",,bit27,ErrorCode_App_L1[2],"""""",,bit27,ErrorCode_App_L1[3],"""""",,bit27,ErrorCode_App_L2[0],"""""",,bit27,ErrorCode_App_L2[1],"""""",,bit27,ErrorCode_App_L2[2],"""""",,bit27,ErrorCode_App_L2[3],"""""",,bit27,ErrorCode_App_L3[0],"""""",,bit27,ErrorCode_App_L3[1],"""""",,bit27,ErrorCode_App_L3[2],"""""",,bit27,ErrorCode_App_L3[3],"""""",,bit27,ErrorCode_App_L4[0],"""""",,bit27,ErrorCode_App_L4[1],"""""",,bit27,ErrorCode_App_L4[2],"""""",,bit27,ErrorCode_App_L4[3],"""""",,bit27,ErrorCode_App_L5[0],"""""",,bit27,ErrorCode_App_L5[1],"""""",,bit27,ErrorCode_App_L5[2],"""""",,bit27,ErrorCode_App_L5[3],""""""
